,author,content,description,publishedAt,source,title,url
78,"Marie Solis, Kate Lowenstein","New findings from The Economist show that women under 45 make up a larger share of Bernie Sanders base than do men in their same age group, contradicting a popular narrative that says the 2020 Democratic candidate's supporters are overwhelmingly white and mal… [+6010 chars]",Polling shows the 2020 candidate’s supporters aren’t just “Bernie Bros.”,2019-09-20,Vice News,Young Women Actually Make Up More of Bernie's Base Than Men Do,https://www.vice.com/en_us/article/gyzjmb/bernie-bros-women-under-45-make-up-a-larger-share-of-bernie-sanders-base-than-men
79,"Morgan Baskin, Michael Learmonth","The gloves just came off on Medicare for All.
 Former Vice President Joe Biden tried to draw a bright line between himself and the two more liberal senators to his left and right on healthcare.
 I know the senator said shes for Bernie, the former vice presi… [+2035 chars]","“I know the senator said she’s for Bernie. Well, I’m for Barack,"" said former Vice President Joe Biden.",2019-09-13,Vice News,Bernie and Warren Just Ganged Up on Biden Over Medicare for All,https://www.vice.com/en_us/article/wjwx5z/bernie-and-warren-just-ganged-up-on-biden-over-medicare-for-all
80,ABC News,"<li>Now Playing: Kayakers traverse flooded street in Charleston
</li><li>Now Playing: Hurricane Dorian 'ready to unleash its fury' on NC
</li><li>Now Playing: Joe Biden tries to laugh off scrutiny over string of misstatements
</li><li>Now Playing: Trump ad… [+1370 chars]",Director of International Communications for the American Red Cross Jenelle Eli discusses what the organization is doing on the island following the disaster and how people can help.,2019-09-05,ABC News,WATCH: American Red Cross on the ground in Bahamas following Hurricane Dorian,https://abcnews.go.com/Politics/video/american-red-cross-ground-bahamas-hurricane-dorian-65416661
81,Ella Torres,"Former Vice President Joe Biden led the first half of Thursday nights Democratic debate in speaking time.
Interested in Democratic Party?
Add Democratic Party as an interest to stay up to date on the latest Democratic Party news, video, and analysis from AB… [+1310 chars]",Joe Biden led the Democratic debate Thursday night in speaking time.,2019-09-13,ABC News,Who has had the most speaking time in the Democratic debate?,https://abcnews.go.com/Politics/speaking-time-democratic-debate/story?id=65582554
82,ABC News,"<li>Now Playing: Boy uses money saved for Disney trip to help Hurricane Dorian evacuees
</li><li>Now Playing: Trump says Florida 'got lucky' with Hurricane Dorian miss
</li><li>Now Playing: Hurricane Dorian heading to the Carolinas
</li><li>Now Playing: 20… [+1352 chars]","After ravaging the Bahamas, the hurricane is now a Category 2 and is expected to make its way towards the coast in North and South Carolina.",2019-09-04,ABC News,WATCH: Hurricane Dorian heading to the Carolinas,https://abcnews.go.com/Politics/video/hurricane-dorian-heading-carolinas-65392787
83,ABC News,"<li>Now Playing: Kitesurfer takes advantage of Hurricane Dorian winds in Florida
</li><li>Now Playing: Hurricane Dorian 'ready to unleash its fury' on NC
</li><li>Now Playing: Joe Biden tries to laugh off scrutiny over string of misstatements
</li><li>Now … [+1387 chars]",Hurricane Dorian crawls up the East Coast and slams the Carolinas after it ravaged the Bahamas.,2019-09-05,ABC News,"WATCH: Hurricane Dorian hits East Coast, Bahamas recovers from monster storm",https://abcnews.go.com/Politics/video/hurricane-dorian-hits-east-coast-bahamas-recovers-monster-65416416
84,Joseph Zeballos-Roig,"A new Insider poll found that around 27% of self-identified Democratic primary voters are less likely to support a candidate who attacks rivals for being too old, underscoring the danger of making age-related attacks on the 2020 campaign trail. 
 Around 16% … [+4737 chars]","A new Insider poll found that around 27% of self-identified Democratic primary voters are less likely to support a candidate who attacks rivals for being too old, underscoring the danger of making age-related attacks on the campaign trail. Around 16% of respo…",2019-09-23,Business Insider,"More than a quarter of Democratic primary voters say they don't like when candidates tear into their rivals for being too old. Frontrunners Joe Biden, Elizabeth Warren, and Bernie Sanders are all over age 70.",https://www.businessinsider.com/democratic-primary-voters-dont-like-candidate-age-related-attacks-old-2019-9
85,ABC News,"<li>Now Playing: Dem candidates praise O'Rourke's El Paso reaction
</li><li>Now Playing: Castro confronts Biden about his health care plan
</li><li>Now Playing: Candidates speak out about biggest setbacks
</li><li>Now Playing: O'Rourke takes a stand agains… [+1246 chars]",The candidates got personal when they spoke about their biggest setback and resiliency at the Democratic debate.,2019-09-13,ABC News,WATCH: Candidates speak out about biggest setbacks,https://abcnews.go.com/Politics/video/candidates-speak-biggest-setbacks-65586680
86,ABC News,"<li>Now Playing: Trump visits Baltimore, will tune into the Democratic Debate
</li><li>Now Playing: O'Rourke takes a stand against gun violence after Texas shootings
</li><li>Now Playing: ABC News talks about Trumps take on Democrats
</li><li>Now Playing: … [+1260 chars]","ABC contributors and analysts discuss Trump saying he will ""dominate"" the 2020 Democratic presidential candidates.",2019-09-13,ABC News,WATCH: ABC News talks about Trump’s take on Democrats,https://abcnews.go.com/Politics/video/abc-news-talks-trumps-democrats-65586534
87,ABC News,"<li>Now Playing: Democratic candidates debate: Dealing with Venezuela 
</li><li>Now Playing: Democratic candidates debate: Climate change
</li><li>Now Playing: Candidates speak out about biggest setbacks
</li><li>Now Playing: O'Rourke takes a stand against… [+1245 chars]",The former Housing and Urban Development secretary challenged the former vice president at the Democratic debate.,2019-09-13,ABC News,WATCH: Castro says Biden ‘wants to take credit for Obama’s work’ but not answer questions,https://abcnews.go.com/Politics/video/castro-biden-credit-obamas-work-answer-questions-65583172
88,ABC News,"<li>Now Playing: Buttigieg makes 1st Democratic debate spin room appearance
</li><li>Now Playing: Biden says he finds purpose through public policy 
</li><li>Now Playing: Candidates speak out about biggest setbacks
</li><li>Now Playing: O'Rourke takes a st… [+1100 chars]","The South Bend, Indiana, mayor talked about serving under Mike Pence and coming out to the public.",2019-09-13,ABC News,"WATCH: Buttigieg on being in the military under 'Don't Ask, Don't Tell'",https://abcnews.go.com/Politics/video/buttigieg-military-dont-65585891
89,ABC News,"<li>Now Playing: Protesters interrupt Biden during Democratic debate
</li><li>Now Playing: Democratic candidates debate: Dealing with China and tariffs
</li><li>Now Playing: O'Rourke takes a stand against gun violence after Texas shootings
</li><li>Now Pla… [+1260 chars]",Sen. Harris answered a question on trade policy.,2019-09-13,ABC News,WATCH: Kamala Harris compares Donald Trump to 'little man' in 'Wizard of Oz',https://abcnews.go.com/Politics/video/kamala-harris-compares-donald-trump-man-wizard-oz-65584525
90,ABC News,"<li>Now Playing: Beto O' Rourke talks guns, racism and immigration with Texas voters
</li><li>Now Playing: Warren credits campaign's success to meeting voters
</li><li>Now Playing: Klobuchar takes on Sanders during debate
</li><li>Now Playing: Castro confr… [+1107 chars]","Former U.S. Representative talks his support for taking away people's automatic rifles, saying ""hell yes we're going to take your AR-15.""",2019-09-13,ABC News,WATCH: O'Rourke takes a stand against gun violence after Texas shootings,https://abcnews.go.com/Politics/video/orourke-takes-stand-gun-violence-texas-shootings-65586833
91,ABC News,"<li>Now Playing: Klobuchar on Medicare for All bill: While Bernie wrote the bill, I read the bill
</li><li>Now Playing: Democratic candidates debate: Dealing with China and tariffs
</li><li>Now Playing: Buttigieg on being in the military under 'Don't Ask, D… [+1165 chars]",Sen. Amy Klobuchar discusses challenging Sander's proposed healthcare bill on the debate stage.,2019-09-13,ABC News,WATCH: Klobuchar takes on Sanders during debate,https://abcnews.go.com/Politics/video/klobuchar-takes-sanders-debate-65585398
92,ABC News,"<li>Now Playing: Kamala Harris compares Donald Trump to 'little man' in 'Wizard of Oz'
</li><li>Now Playing: Democratic candidates debate: How to budget health care
</li><li>Now Playing: Buttigieg on being in the military under 'Don't Ask, Don't Tell'
</li… [+1160 chars]",Sen. Kamala Harris discusses the criminal justice system and her work within it after ABC News' Democratic debate.,2019-09-13,ABC News,WATCH: Harris defends work as prosecutor after she’s questioned during debate,https://abcnews.go.com/Politics/video/harris-defends-work-prosecutor-shes-questioned-debate-65585246
93,ABC News,"<li>Now Playing: Biden says he finds purpose through public policy 
</li><li>Now Playing: Klobuchar on Medicare for All bill: While Bernie wrote the bill, I read the bill
</li><li>Now Playing: Kamala Harris compares Donald Trump to 'little man' in 'Wizard o… [+1018 chars]",ABC News contributors and analysts break down Harris' history as a prosecutor.,2019-09-13,ABC News,WATCH: Analyzing Kamala Harris' debate performance,https://abcnews.go.com/Politics/video/analyzing-kamala-harris-debate-performance-65585188
94,ABC News,"<li>Now Playing: Dem candidates praise O'Rourke's El Paso reaction
</li><li>Now Playing: Castro confronts Biden about his health care plan
</li><li>Now Playing: Candidates speak out about biggest setbacks
</li><li>Now Playing: O'Rourke takes a stand agains… [+1246 chars]","Four candidates made a point of offering kind words to rival Beto O’Rourke for his handling of the mass shooting last month at a Walmart in his home town of El Paso, Texas.",2019-09-13,ABC News,WATCH: Dem candidates praise O'Rourke's El Paso reaction,https://abcnews.go.com/Politics/video/dem-candidates-praise-orourkes-el-paso-reaction-65587453
95,ABC News,"<li>Now Playing: O'Rourke takes a stand against gun violence after Texas shootings
</li><li>Now Playing: Castro defends his comments about Bidens memory
</li><li>Now Playing: Dem candidates praise O'Rourke's El Paso reaction
</li><li>Now Playing: Castro co… [+1089 chars]",Watch the full exchange between the presidential hopefuls on the Democratic debate stage.,2019-09-13,ABC News,WATCH: Castro confronts Biden about his health care plan,https://abcnews.go.com/Politics/video/castro-confronts-biden-health-care-plan-65587201
96,ABC News,"<li>Now Playing: Democratic candidates debate: Addressing immigration and equality
</li><li>Now Playing: Democratic candidates debate: Gun reform
</li><li>Now Playing: O'Rourke takes a stand against gun violence after Texas shootings
</li><li>Now Playing: … [+1254 chars]",Students share which Democratic candidates have stood out to them halfway through the debate.,2019-09-13,ABC News,WATCH: Inside Texas Southern University's debate watch party,https://abcnews.go.com/Politics/video/inside-texas-southern-universitys-debate-watch-party-65582285
97,ABC News,"<li>Now Playing: Democratic candidates debate: Education
</li><li>Now Playing: Buttigieg on being in the military under 'Don't Ask, Don't Tell'
</li><li>Now Playing: Warren credits campaign's success to meeting voters
</li><li>Now Playing: Klobuchar takes … [+1148 chars]","Entrepreneur Andrew Yang tells ABC News how he could put ""economic resources into Americans' hands"" as president.",2019-09-13,ABC News,WATCH: Yang talks universal basic income plan,https://abcnews.go.com/Politics/video/yang-talks-universal-basic-income-plan-65585021
98,"USA TODAY, Christal Hayes, USA TODAY","WASHINGTON  It was round three and the gloves were off. 
Nearly all 10 candidates on stage in Houston for the third Democratic presidential debate went on the offensive and had a zinger that got people talking. 
The top polling candidates, including former … [+11856 chars]",The third debate was full of fireworks. Here are some of the top moments from the three hours onstage in Houston.,2019-09-13,USA Today,Kamala Harris calls Trump a 'little dude' and other moments from the Democratic debate,https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-top-moments-houston/2306563001/?utm_source=google&utm_medium=amp&utm_campaign=speakable
99,Eliza Relman,"Most of America had never heard of a Green New Deal when then-Rep.-elect Alexandria Ocasio-Cortez infuriated members of her own party by joining young climate change protesters outside House Speaker Nancy Pelosi's office last November. 
 The group, led by th… [+4530 chars]","Most of America had never heard of a Green New Deal when Rep. Alexandria Ocasio-Cortez joined climate activists to demand Democratic leadership adopt the plan last year. Since then, the Green New Deal has earned mainstream name recognition, and climate change…",2019-09-05,Business Insider,"Alexandria Ocasio-Cortez got 2020 Democrats talking about climate change, but their plans to address it diverge wildly",https://www.businessinsider.com/alexandria-ocasio-cortez-got-2020-democrats-talk-climate-change-2019-9
0,"Annie Grayer and Caroline Kelly, CNN",,"Democratic presidential candidate Sen. Bernie Sanders announced highlights of his national housing plan during a speech Saturday, emphasizing renter protections and investments in affordable housing.",2019-09-14,CNN,Bernie Sanders teases $2.5 trillion housing plan,https://www.cnn.com/2019/09/14/politics/bernie-sanders-teases-housing-plan/index.html
1,"Ryan Nobles, CNN","(CNN)Sen. Bernie Sanders has received contributions from 1 million donors, his 2020 campaign announced Thursday.
According to the campaign, it is the first Democratic presidential campaign to cross that threshold this election cycle.
""Our strength is in num… [+1231 chars]","Sen. Bernie Sanders has received contributions from 1 million donors, his 2020 campaign announced Thursday.",2019-09-19,CNN,Bernie Sanders campaign hits 1 million donors,https://www.cnn.com/2019/09/19/politics/bernie-sanders-1-million-donors/index.html
2,Sydney Ember and Jonathan Martin,"Senator Bernie Sanders has overhauled his New Hampshire state operations, as his campaign fights to maintain support in a state he won by more than 22 percentage points in 2016.
In a series of moves, the campaign has replaced the New Hampshire state director… [+981 chars]","Mr. Sanders has overhauled his New Hampshire state operations, as his campaign fights to maintain support in a state he won by more than 22 percentage points in 2016.",2019-09-15,The New York Times,Bernie Sanders Campaign Shakes Up New Hampshire Operation,https://www.nytimes.com/2019/09/15/us/politics/bernie-sanders-new-hampshire.html
3,Sydney Ember,"During his address, part of a weekend swing through Nevada that also featured a rally at the University of Nevada, Reno, on Friday, Mr. Sanders also attacked President Trump and attempted to draw a contrast between his childhood and the presidents more privil… [+1577 chars]","Mr. Sanders invoked his own childhood growing up in a rent-controlled apartment, and contrasted it with the privilege of President Trump.",2019-09-15,The New York Times,"Bernie Sanders, in Las Vegas, Previews Plan for Affordable Housing",https://www.nytimes.com/2019/09/14/us/politics/bernie-sanders-housing.html
4,Margot Sanger-Katz and Sydney Ember,"Were addressing it on both ends, Mr. Sanders said. Were addressing it now by trying to help the people who have past due medical bills. And were addressing it by finally creating a health care system that guarantees coverage to people without any premiums, wi… [+1461 chars]","On top of his “Medicare for all” proposal, Mr. Sanders’s new plan would wipe out an estimated $81 billion in existing medical debt and ignore such debt in credit scores.",2019-09-21,The New York Times,Bernie Sanders Calls for Eliminating Americans’ Medical Debt,https://www.nytimes.com/2019/09/21/us/politics/bernie-medical-debt-healthcare.html
5,Shane Goldmacher and Reid J. Epstein,"Unlike many onstage in Houston, the question for Ms. Harris is not whether she can have a breakout moment. She can. She already has. The question a harder one to answer is whether she can turn a strong debate performance into sustained political momentum.
Ms… [+1630 chars]","Tonight’s lineup will feature 10 candidates including the former Vice President Joe Biden, Senator Bernie Sanders of Vermont and Senator Elizabeth Warren of Massachusetts.",2019-09-12,The New York Times,Live Updates Ahead of Tonight’s Democratic Debate,https://www.nytimes.com/2019/09/12/us/politics/september-democratic-debate-live.html
6,https://www.facebook.com/bbcnews,"Image copyrightGetty ImagesImage caption
 Democratic presidential hopefuls Bernie Sanders (right), Former US Vice President Joe Biden (centre) and Elizabeth Warren
Democratic frontrunner Joe Biden and close rivals Elizabeth Warren and Bernie Sanders have fe… [+2028 chars]","Joe Biden, Elizabeth Warren and Bernie Sanders share the stage for the first time in a testy debate.",2019-09-13,BBC News,"Democratic debate: Biden, Warren and Sanders spar over healthcare",https://www.bbc.co.uk/news/world-us-canada-49684419
7,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"Hosts poked fun at Andrew Yang's opening stunt and Sen. Bernie Sanders, who appeared to be losing his voice",2019-09-13,CNN,Late night hosts tee off on Yang's debate giveaway,https://www.cnn.com/videos/media/2019/09/13/late-night-andrew-yang-bernie-sanders-abc-debate-vstan-orig-me.cnn
8,Sydney Ember and Shane Goldmacher,"As in his race against Mrs. Clinton, Mr. Sanders faces in former Vice President Joseph R. Biden Jr. a familiar face with a reservoir of good will among many black voters a man who served two terms as the No. 2 to the first black president, and who begins far … [+2158 chars]","The state, where black voters dominate the Democratic electorate, delivered a huge setback to Mr. Sanders in early 2016. He knows things need to be different this time.",2019-09-18,The New York Times,Why Bernie Sanders Wants Redemption in South Carolina,https://www.nytimes.com/2019/09/18/us/politics/bernie-sanders-south-carolina.html
9,Thomas Kaplan,"Mr. Sanders, of Vermont, would create an annual tax that would apply to households with a net worth above $32 million about 180,000 households in total, or about the top 0.1 percent, according to the economists who worked on the plan.
He would create a 1 per… [+1362 chars]",Mr. Sanders is embracing an idea at the center of Elizabeth Warren’s presidential campaign. His proposal goes further in who would be taxed and how much money would be raised.,2019-09-24,The New York Times,"Bernie Sanders Proposes a Wealth Tax, Taking Aim at Billionaires",https://www.nytimes.com/2019/09/24/us/politics/bernie-sanders-wealth-tax.html
10,Thomas Kaplan,"The line came during an exchange with Representative Tim Ryan of Ohio. The Sanders campaign quickly offered I wrote the damn bill stickers in exchange for campaign donations.
Ms. Warren found a convenient foil in John Delaney, the former Maryland congressman… [+1065 chars]","Joe Biden, Kamala Harris, Bernie Sanders and Elizabeth Warren are the leading Democrats in the presidential primary. We take a look back at their debate performances.",2019-09-12,The New York Times,Summer Debate Recap: How Did the Top Four Candidates Perform Last Time?,https://www.nytimes.com/2019/09/12/us/politics/biden-harris-sanders-warren-democratic-debates.html
11,Reid J. Epstein and Maggie Astor,"I think to elect anyone else is a foolish venture, he said.
How Mr. Sanders, Mr. Biden and Ms. Warren compete and contrast themselves with one another is one of the biggest questions of the autumn phase of the campaign. That mini-contest among the leading ca… [+1819 chars]","Bernie Sanders, Joe Biden and Elizabeth Warren were among those courting voters at picnic lunches, ice cream socials and town hall meetings.",2019-09-02,The New York Times,2020 Democrats Fan Out Across Iowa and New Hampshire on Labor Day,https://www.nytimes.com/2019/09/02/us/politics/democratic-candidates-iowa-new-hampshire.html
12,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"During ABC's Democratic primary debate, former Vice President Joe Biden argued to expand Obamacare. Senators Bernie Sanders and Elizabeth Warren made the case for ""Medicare for All.""",2019-09-13,CNN,"Biden, Sanders and Warren clash over health care",https://www.cnn.com/videos/politics/2019/09/13/warren-sanders-biden-clash-health-care-me-orig.cnn
13,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,Democratic presidential candidate Sen. Bernie Sanders (VT) says he would reverse a Trump administration rollback on the requirements for energy-saving light bulbs.,2019-09-05,CNN,See Sanders' blunt response to Trump,https://www.cnn.com/videos/politics/2019/09/05/bernie-sanders-duh-trump-policy-lightbulbs-climate-town-hall-sot-vpx.cnn
14,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,Democratic presidential candidate Bernie Sanders says President Trump's approach to climate crisis is idiotic and dangerous during CNN's climate town hall.,2019-09-05,CNN,Sanders: Trump's stance on climate change is idiotic,https://www.cnn.com/videos/politics/2019/09/04/bernie-sanders-sot-trump-stance-climate-cnn-town-hall-vpx.cnn
15,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"Sen. Bernie Sanders (I-VT) didn't hold back on his criticism of President Donald Trump while on ""The Late Show with Stephen Colbert,"" in the wake of a complaint concerning Trump's interactions with the Ukraine President Volodymyr Zelensky.",2019-09-27,CNN,Bernie Sanders: This is an outrage on top of an outrage,https://www.cnn.com/videos/media/2019/09/27/bernie-sanders-trump-impeachment-inquiry-colbert-orig-vpx.cnn
16,Emily Badger,"Mr. Sanders has similarly proposed a tax on empty homes, aimed at speculators who sit on vacant properties until they become more lucrative to redevelop, or simply profitable to resell. That is a real problem in some communities, leaving neighbors to live wit… [+2239 chars]","A plan for national rent control and for reining in speculators, but also for building wealth through homeownership.",2019-09-21,The New York Times,"Should People Profit From Housing? Bernie Sanders Says Yes, and No",https://www.nytimes.com/2019/09/19/upshot/Bernie-Sanders-housing-plan.html
17,Sydney Ember,"But she also said she was interested in Ms. Warren and wanted to hear her speak.
Jiego Lim, an 18-year-old student at the University of Nevada, Reno, who was volunteering at Mr. Sanderss event there, said he supported Mr. Sanders but was also intrigued by Ma… [+1796 chars]","The Vermont senator benefited from a wave of enthusiasm from young people in 2016. Many still love him, but not him alone.",2019-09-20,The New York Times,"Young Voters Still ‘Feel the Bern,’ but Not Just for Bernie Sanders Anymore",https://www.nytimes.com/2019/09/20/us/politics/bernie-sanders-young-voters.html
18,Sydney Ember,"In an interview on Sunday, Mr. Sanders vividly described how seeing the Canadian system up close significantly shaped his own views on health care.
It was kind of mind blowing to realize that the country 50 miles away from where I live that people could go t… [+1628 chars]","The Vermont senator has staked his presidential campaign, and much of his political legacy, on transforming health care in America. His mother’s illness, and a trip he made to study the Canadian system, help explain why.",2019-09-09,The New York Times,"Bernie Sanders Went to Canada, and a Dream of ‘Medicare for All’ Flourished",https://www.nytimes.com/2019/09/09/us/politics/bernie-sanders-health-care.html
19,"Analysis by Clare Duffy, CNN Business","I applaud the brave Walmart workers who called on the company to stop selling guns. This is a good step, but we still have a gun violence crisis. Mitch McConnell must stop his cowardice, stand up to the NRA and allow Congress to pass common sense gun safety l… [+87 chars]","In some ways, Walmart's announcement Tuesday that it will stop selling some guns and ammunition — and ask customers not to openly carry guns in its stores — is just another step in a years-long process of reevaluating its relationship with firearms.",2019-09-04,CNN,Analysis: How Walmart became an unlikely champion of gun safety,https://www.cnn.com/2019/09/04/business/walmart-gun-policy-reactions/index.html
20,,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,"During a town hall with Sen. Bernie Sanders in Nevada, a veteran who said he was suffering from Huntington's Disease told the 2020 candidate he was going to take his own life over his nearly $140,000 in medical debt. If you or a Veteran you know is in crisis,…",2019-09-14,CNN,Emotional veteran tells Sanders he's crippled by medical debt,https://www.cnn.com/videos/politics/2019/09/14/bernie-sanders-rally-veteran-medical-debt-sot-ndwknd-vpx.cnn
21,Reid J. Epstein and Lisa Lerer,"DES MOINES Senator Elizabeth Warren of Massachusetts is the new Iowa polling leader, narrowly in first place ahead of former Vice President Joseph R. Biden Jr., according to a new poll of the state from The Des Moines Register and CNN.
The poll showed that M… [+981 chars]",The latest poll numbers from The Des Moines Register and CNN were very good for Elizabeth Warren as she and Joseph R. Biden Jr. broke away from the rest of the Democratic pack.,2019-09-22,The New York Times,Warren Leads in New Iowa Poll With Biden Second,https://www.nytimes.com/2019/09/21/us/politics/Iowa-biden-warren-.html
22,Trish Bendix,"Twenty-thousand! Only 3,000 of which were there to score weed. STEPHEN COLBERT
Following her rally in New York last night, Senator Elizabeth Warren spent four hours taking selfies with supporters. Meanwhile, Bernie took one selfie that lasted four hours beca… [+1196 chars]","“Buena suerte with that, el Trumpo,” Stephen Colbert joked Tuesday of President Trump’s New Mexico rally.",2019-09-18,The New York Times,Late Night Mocks Trump’s Appeal to Hispanic Voters,https://www.nytimes.com/2019/09/18/arts/television/late-night-trump-hispanics.html
23,"Analysis by Stephen Collinson, CNN","Manchester, New Hampshire (CNN)The Democratic field has flocked to New Hampshire as the first-in-the-nation primary that may be even more pivotal than usual grabs the spotlight for the first time in the 2020 campaign.
Nineteen candidates are addressing the s… [+9063 chars]",The Democratic field has flocked to New Hampshire as the first-in-the-nation primary that may be even more pivotal than usual grabs the spotlight for the first time in the 2020 campaign.,2019-09-07,CNN,Analysis: Democratic cattle call ignites New Hampshire primary,https://www.cnn.com/2019/09/07/politics/new-hampshire-state-of-play/index.html
24,Coral Davenport and Lisa Friedman,"Mr. Castros plan also includes several ideas either directly adopted from or developed in consultation with Mr. Inslee, such as a plan to replace all coal-fired power generation with zero-emissions sources by 2030, and a proposal to marshal $10 trillion in fe… [+1509 chars]","Senator Kamala Harris is one of 10 candidates participating in a CNN forum on climate change, the first such prime-time event in a presidential campaign.",2019-09-04,The New York Times,Climate Town Hall: Harris Releases $10 Trillion Plan Ahead of Tonight’s Event,https://www.nytimes.com/2019/09/04/us/politics/democrats-climate-change-plans.html
25,Jennifer Finney Boylan,"Another loser last night was Senator Bernie Sanders, who did not show. Theres a second forum coming up in October, sponsored by U.C.L.A. and the Human Rights Campaign. Sanders isnt going to that one, either. His campaign cites scheduling conflicts.
Some of t… [+1558 chars]",Senators Warren and Booker shone in a forum focused on the lives of L.G.B.T.Q. Americans.,2019-09-21,The New York Times,Love in the Time of Democrats,https://www.nytimes.com/2019/09/21/opinion/elizabeth-warren-booker-lgbtq-forum-biden.html
26,,"Presidential candidates take the stage for a Democratic debate in Houston on Thursday, September 12. The candidates, from left, are US Sen. Amy Klobuchar; US Sen. Cory Booker; South Bend, Indiana, Mayor Pete Buttigieg; US Sen. Bernie Sanders; Former Vice Pres… [+646 chars]","For the first time in this election cycle, all of the Democratic Party's top presidential candidates are debating one another on the same stage.",2019-09-13,CNN,In pictures: Leading candidates face off,https://www.cnn.com/2019/09/12/politics/gallery/third-democratic-debate-houston/index.html
27,Tom Porter,"Former Vice President Joe Biden slipped up during the Democratic debate Thursday night, accidentally referring to his close rival for the presidential nomination, Bernie Sanders, as ""the president."" 
 ""If you notice, nobody's yet said how much it's going to … [+1776 chars]","Former Vice President Joe Biden slipped up during Thursday's Democratic primary debate, referring to his close rival for the presidential nomination, Bernie Sanders, as ""the president."" Sanders and Biden clashed over healthcare policy during the debate. ""For …",2019-09-13,Business Insider,Joe Biden accidentally called Bernie Sanders 'the president' during the Houston Democratic debate,https://www.businessinsider.com/joe-biden-calls-bernie-sanders-the-president-democratic-debate-mistake-2019-9
28,Coral Davenport and Lisa Friedman,"Mr. Castros plan, also released Tuesday, includes several ideas either directly adopted from or developed in consultation with Mr. Inslee, such as a plan to replace all coal-fired power generation with zero-emissions sources by 2030, and a proposal to marshal… [+1712 chars]","Ms. Warren and four other presidential candidates are releasing climate proposals this week, as the top contenders prepare for a prime-time forum on global warming.",2019-09-03,The New York Times,"Elizabeth Warren Unveils $3 Trillion Climate Plan, Embracing Inslee’s Goals",https://www.nytimes.com/2019/09/03/us/politics/elizabeth-warren-climate-change-plan.html
29,"feedback@businessinsider.com (Carmen Reinicke), Carmen Reinicke",,"Getty Images / Scott Eisen Senator Bernie Sanders on Monday announced a new income inequality plan that would place taxes on companies that pay CEOs more than 50 times the pay of the median worker. The plan would raise $150 billion in a decade, which would be…",2019-09-30,Google News,Bernie Sanders unveils 'inequality tax' targeting companies where CEOs make far more than workers,http://feedproxy.google.com/~r/businessinsider/~3/aivkLotQR7Y/bernie-sanders-inequality-tax-plan-close-ceo-worker-pay-gap-2019-9
30,"Maeve Reston, CNN","(CNN)Joe Biden and Elizabeth Warren have been adversaries; now they are rivals. And on Thursday in Houston, they will meet for the first time on the debate stage in what's expected to be a fierce ideological battle over the direction of the Democratic Party.… [+2205 chars]","Joe Biden and Elizabeth Warren have been adversaries; now they are rivals. And on Thursday in Houston, they will meet for the first time on the debate stage in what's expected to be a fierce ideological battle over the direction of the Democratic Party.",2019-09-12,CNN,Warren and Biden set for highly anticipated showdown,https://www.cnn.com/2019/09/12/politics/abc-democratic-primary-debate/index.html
31,Mark Leibovich,"Yet here was Mr. Biden again, at 76, trudging through another dog day of August in the extreme heat. He had just finished up a small rally in central Iowa, held in a gazebo-like party space overlooking a pond. He seemed a bit riled up, and not in a good way.… [+1906 chars]","On certain days, Biden 2020 can feel more like a dutiful slog than the last march of a happy warrior.",2019-09-02,The New York Times,Does Joe Biden Want to Be Doing This?,https://www.nytimes.com/2019/09/02/us/politics/joe-biden-2020.html
32,Jennifer Vineyard,"In a 2013 attempt to address the lack of black female S.N.L. cast members, Kerry Washington was featured struggling to be Michelle Obama, Oprah Winfrey and Beyoncé all in one sketch. Through a voice-over and scrolling text on the screen, producers of S.N.L. a… [+1181 chars]","Will “Saturday Night Live” address the Shane Gillis flap in its Season 45 premiere this weekend? Who knows, but here’s how it has handled past controversies on-air.",2019-09-28,The New York Times,‘S.N.L.’ Is Sorry: A Brief History of the Show’s (Sort Of) Apologies,https://www.nytimes.com/2019/09/27/arts/television/snl-apologies.html
33,Shane Goldmacher,"Mr. Bidens campaign strategy has been driven, from the start, by the political assumption that the Democratic electorate is more moderate than the progressives who are often loudest online, and he has built his candidacy around appealing to older and more cen… [+1170 chars]","In a race where many voters are following politics online, Mr. Biden’s pullback is a striking and potentially worrisome sign about his appeal among the digitally active.",2019-09-30,The New York Times,"Joe Biden’s Digital Ads Are Disappearing. Not a Good Sign, Strategists Say.",https://www.nytimes.com/2019/09/30/us/politics/joe-biden-ads.html
